generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
190,214.46,70.9542,59.845,-2.94,1049,301.0,6,5,10.46,478.0,-284.0,10.0,0.0
191,257.79,68.5694,52.585,-1.47,1279,265.5,3,8,12.79,579.0,-350.0,16.0,0.0
192,336.84,63.674,41.545,-7.35,1834,200.5,3,14,18.34,805.0,-514.5,28.0,0.0
193,290.56,74.4652,51.69,4.46,1448,243.5,20,11,13.56,622.0,-367.0,22.0,0.0
194,360.36,66.748,48.195,-1.47,1786,238.5,3,8,17.86,813.0,-486.5,16.0,0.0
195,582.26,83.1226,45.54,-2.94,2976,262.5,3,16,29.76,1339.0,-818.5,32.0,0.0
196,250.59,66.3042,41.965,-1.23,1317,283.5,9,9,10.59,501.0,-279.0,18.0,0.0
197,215.73,57.2774,39.735,-1.9,925,192.5,3,10,6.23,334.0,-144.5,20.0,0.0
198,214.03,69.5614,48.15,0.21,810,176.5,3,8,6.03,329.0,-137.0,16.0,0.0
199,309.43,77.4348,52.37,0.15,1693,155.5,15,7,16.93,750.0,-471.5,14.0,0.0
200,300.12,53.656,26.95,0.21,1512,132.0,3,9,15.12,682.0,-415.0,18.0,0.0
201,249.9,77.0286,57.27,-1.47,1297,223.5,3,9,12.9,576.0,-357.0,18.0,0.0
202,203.83,46.3972,32.62,1.83,1083,118.5,9,8,10.83,479.0,-302.0,16.0,0.0
203,285.99,62.8318,41.89,-4.35,1349,203.0,3,10,13.49,618.0,-365.5,20.0,0.0
204,230.48,50.5544,31.96,4.34,1248,146.0,27,7,12.48,552.0,-348.0,14.0,0.0
205,390.19,72.1322,27.57,1.59,1404,139.5,9,16,10.69,588.0,-240.5,32.0,0.0
206,216.47,58.1922,51.665,0.15,1097,153.0,3,5,10.97,496.0,-300.5,10.0,0.0
207,304.01,78.0408,40.37,1.71,1451,188.0,16,20,7.01,405.0,-148.0,40.0,0.0
208,326.02,63.3492,42.075,1.83,1120,137.0,10,16,9.52,507.0,-222.5,32.0,0.0
209,440.52,71.8952,46.93,5.78,1202,134.0,10,19,12.02,661.0,-270.5,38.0,0.0
210,347.5,64.4882,36.86,-0.34,900,101.5,8,14,9.0,507.0,-196.5,28.0,0.0
211,261.0,63.7556,49.6,0.03,600,144.0,3,15,6.0,350.0,-125.0,30.0,0.0
212,338.75,77.1208,56.55,4.71,825,178.0,11,19,8.25,470.0,-177.5,38.0,0.0
213,291.34,75.1718,53.88,4.16,805,149.5,9,13,7.84,433.0,-175.5,26.0,0.0
214,518.65,70.9532,24.035,-1.41,1315,76.0,3,28,13.15,738.0,-288.5,56.0,0.0
215,297.49,83.5112,57.915,1.22,799,154.0,10,13,7.99,442.0,-178.5,26.0,0.0
216,542.94,86.8178,48.35,7.16,1394,124.0,15,25,13.94,784.0,-305.0,50.0,0.0
217,334.32,53.3352,36.47,-1.41,932,95.5,9,22,9.32,498.0,-217.0,44.0,0.0
218,354.86,77.4612,53.495,3.21,986,142.5,16,14,9.86,540.0,-223.0,28.0,0.0
219,194.08,54.562,35.885,1.56,508,91.5,6,10,5.08,282.0,-113.0,20.0,0.0
220,310.4,56.6298,34.795,3.15,940,98.5,15,9,9.4,502.0,-219.0,18.0,0.0
221,414.3,71.9254,43.115,-1.35,1092,126.0,15,18,10.8,605.0,-237.5,36.0,0.0
222,341.8,80.7994,48.63,2.66,880,135.5,15,19,8.8,490.0,-195.0,38.0,0.0
223,333.87,68.9218,30.92,0.15,837,82.0,9,18,8.37,472.0,-182.5,36.0,0.0
224,495.59,90.4962,57.695,1.59,1309,148.0,9,21,13.09,730.0,-289.5,42.0,0.0
225,261.1,67.5432,54.525,-5.85,660,155.5,3,11,6.6,375.0,-142.5,22.0,0.0
226,242.87,64.6134,47.77,1.65,587,145.0,10,11,5.87,339.0,-124.0,22.0,0.0
227,328.82,93.5838,56.915,5.6,932,155.5,10,11,9.32,509.0,-211.5,22.0,0.0
228,321.71,79.9314,54.575,1.77,850,152.5,12,14,8.21,464.0,-178.5,28.0,0.0
229,316.11,83.1878,44.085,5.6,811,119.0,10,14,8.11,457.0,-177.0,28.0,0.0
230,345.53,75.0876,56.43,-5.85,803,153.0,3,23,8.03,462.0,-170.5,46.0,0.0
231,258.72,57.6102,28.13,-1.47,722,95.5,3,7,7.22,399.0,-161.5,14.0,0.0
232,761.04,89.1208,64.725,-4.35,1904,166.5,9,28,19.04,1092.0,-406.0,56.0,0.0
233,347.44,63.752,42.935,-1.47,894,98.0,3,14,8.94,505.0,-194.5,28.0,0.0
234,453.55,94.208,51.24,-1.47,1205,139.0,3,18,12.05,672.0,-266.5,36.0,0.0
235,649.31,83.731,45.615,1.65,1631,134.0,15,32,16.31,923.0,-354.0,64.0,0.0
236,236.07,74.8212,62.55,-1.47,607,157.0,3,11,6.07,341.0,-133.0,22.0,0.0
237,489.38,99.929,67.135,1.1,1288,204.5,10,21,12.88,719.0,-284.5,42.0,0.0
238,248.07,77.3826,52.835,6.15,657,151.0,15,9,6.57,368.0,-144.5,18.0,0.0
239,307.82,63.2104,42.385,-1.47,732,110.0,3,16,7.32,423.0,-154.5,32.0,0.0
240,271.35,43.8834,31.79,-0.34,735,96.5,10,15,7.35,401.0,-167.0,30.0,0.0
241,330.93,53.0298,33.025,1.28,843,81.0,9,15,8.43,476.0,-183.5,30.0,0.0
242,400.67,81.6122,42.18,5.09,1067,122.5,9,14,10.67,597.0,-235.0,28.0,0.0
243,552.54,84.5134,50.02,3.09,1504,131.0,9,23,15.04,829.0,-337.5,46.0,0.0
244,421.97,62.791,30.435,5.66,1130,89.0,15,17,10.97,617.0,-240.0,34.0,0.0
245,310.68,64.3894,38.98,1.53,968,98.5,3,10,9.68,510.0,-229.0,20.0,0.0
246,308.91,70.1162,53.985,-4.35,791,157.5,3,16,7.91,443.0,-174.0,32.0,0.0
247,273.52,72.7238,53.415,-1.47,752,140.0,3,9,7.52,416.0,-168.0,18.0,0.0
248,332.23,73.222,54.83,0.15,873,140.5,10,14,8.73,488.0,-192.5,28.0,0.0
249,179.76,52.1662,43.53,0.15,476,119.0,12,7,4.76,266.0,-105.0,14.0,0.0
250,334.55,74.8812,47.915,-4.35,1005,114.5,15,16,10.05,530.0,-237.5,32.0,0.0
251,737.99,83.1092,40.05,0.09,1949,126.0,3,29,19.49,1090.0,-429.5,58.0,0.0
252,338.64,85.9428,52.325,-1.47,864,157.5,3,15,8.64,488.0,-188.0,30.0,0.0
253,210.8,72.219,49.35,-1.47,530,135.0,3,11,5.3,299.0,-115.5,22.0,0.0
254,210.87,54.3714,35.11,-1.44,558,92.5,3,6,5.37,308.0,-114.5,12.0,0.0
255,413.49,77.6566,62.545,0.09,1099,155.0,9,17,10.99,612.0,-243.5,34.0,0.0
256,444.29,73.652,41.025,-1.47,1179,119.5,3,19,11.79,656.0,-261.5,38.0,0.0
257,357.3,81.3038,52.805,3.21,930,149.0,9,15,9.3,522.0,-204.0,30.0,0.0
258,203.21,63.727,52.595,0.15,571,152.0,8,9,5.71,310.0,-130.5,18.0,0.0
259,444.83,58.7698,43.035,-7.35,1133,112.5,3,23,11.33,636.0,-248.5,46.0,0.0
260,484.66,89.1808,57.235,2.6,1266,159.0,10,23,12.66,706.0,-280.0,46.0,0.0
261,315.0,78.3594,49.58,1.53,800,143.0,3,13,8.0,454.0,-173.0,26.0,0.0
262,472.88,77.3124,52.525,0.15,1238,147.5,9,23,12.38,689.0,-274.5,46.0,0.0
263,525.98,88.9102,59.65,2.6,1198,158.0,10,27,11.98,706.0,-246.0,54.0,0.0
264,283.55,79.7422,57.605,1.65,664,157.0,15,15,6.55,383.0,-136.0,30.0,0.0
265,235.37,59.3292,38.56,-1.35,637,106.0,9,12,6.37,349.0,-144.0,24.0,0.0
